CatalogLayer,LayerBasis,LayerNotes,RuleId,AppliesTo,RuleType,RuleText,Severity,TriggerContext,ExpectedError,Authority,Confidence,SourceRefs,Notes
core_canonical,transform_resolution,Shared SE and PKI PIN rule is official protocol behavior on relevant versions,RUL-035,Shared SE and PKI PIN,protocol,From secure element version 3.2.2 the same PIN value is used for both the secure element applet and the PKI applet,warning,Card authentication and certificate access,Do not model SE PIN and PKI PIN as unrelated secrets on those versions,official_spec,high,KB-006,PKI certificate access over PKCS11 depends on the same PIN object
core_canonical,REC-RUL-009,The codebook and technical instruction provide direct support for the code-prefixed syntax families and rendering baseline,RUL-036,Buyer ID composite code 12,validation,Serbian buyer identification code 12 is the documented composite form 12:PIB:JBKJS while the other documented buyerId values follow the simpler code:value shape,error,Invoice with buyer identification code 12,Invalid structure should fail buyer identification validation,official_technical,high,KB-005; KB-016,This is the only buyerId codebook entry that explicitly adds a second payload separator
core_canonical,REC-RUL-009,The codebook and technical instruction provide direct support for the code-prefixed syntax families and rendering baseline,RUL-037,Buyer optional field code 60 format,validation,Serbian buyer optional field code 60 must use the exact syntax 60:ddmmgggg_ddmmgggg and represents a calendar-month refund period covering 00:00:00 of the first date through 23:59:59 of the last date,error,Corporate card aggregate refund flow,Invalid code 60 structure or non-month period should fail validation,official_technical,high,KB-005; KB-016,The technical guide also explains the full-day coverage semantics of the entered range
guidance_canonical,REC-RUL-001,The operational story is strongly corroborated across spec manual tests and BE rulebook materials,RUL-038,Audit limit online block,operational,If an invoice pushes the secure element over the no-proof-of-audit limit while internet is available the invoice may still be signed but LPFR must show a visible audit warning and block the next invoice until Proof of Audit is received,error,Online issuance after limit breach,Second invoice blocked until proof arrives and issuance resumes afterwards,official_manual_test,high,KB-007,Manual testing expects the proof from SUF after roughly five minutes
guidance_canonical,REC-RUL-001,The operational story is strongly corroborated across spec manual tests and BE rulebook materials,RUL-039,Audit limit offline block,operational,If an invoice pushes the secure element over the no-proof-of-audit limit while internet is unavailable the first invoice may still be signed but the next invoice must be blocked until the local-audit proof workflow completes,error,Offline issuance after limit breach,Second invoice blocked until proof can be applied,official_manual_test,high,KB-007,Manual testing continues with the local audit export and proof application workflow
guidance_canonical,transform_resolution,Manual-tested local-audit concurrency behavior retained as operational guidance,RUL-040,Issuance during local audit,operational,LPFR must remain able to issue invoices while local audit is running,error,Concurrent local audit and invoicing,Invoice issuance continues during audit export,official_manual_test,high,KB-007,Manual scenario explicitly starts local audit and successfully issues another invoice
guidance_canonical,REC-RUL-001,The operational story is strongly corroborated across spec manual tests and BE rulebook materials,RUL-041,Reinserted card requires PIN,operational,Removing and reinserting the smart card invalidates the previously cached PIN and invoice issuance must remain blocked until a valid PIN is entered again,error,Card removal and reinsertion,Issuance blocked until VerifyPin succeeds again,official_manual_test,high,KB-007,Extends the PIN caching rule with reinsertion behavior
guidance_canonical,REC-RUL-001,The operational story is strongly corroborated across spec manual tests and BE rulebook materials,RUL-042,Status endpoint degraded-state arrays,protocol,Get Status may still return HTTP 200 while exposing multiple general status codes for degraded states such as no card or PIN required,error,Status polling in degraded conditions,Clients must inspect the gsc array instead of relying only on HTTP status,official_manual_test,high,KB-007,Manual scenarios show combinations like 1300 plus 1500 plus 0210 and 1500 plus 0210
guidance_canonical,REC-RUL-002,This family is driven mainly by manual-test expectations rather than protocol text,RUL-043,ESIR requires PFR connectivity,operational,ESIR must refuse invoice issuance when it cannot communicate with LPFR or VPFR or when the required security element or client certificate is unavailable,error,ESIR issuance without a working fiscalization path,Receipt must not be issued and a user-facing notification must be shown,official_manual_test,high,KB-008,Manual testing disconnects LPFR removes the BE or disables the VPFR certificate
guidance_canonical,REC-RUL-002,This family is driven mainly by manual-test expectations rather than protocol text,RUL-044,ESIR preserves PFR data,rendering,ESIR must not omit or alter any mandatory fiscal data returned by the PFR and displayed receipt data must match both the Administration Portal and the electronic journal,error,Receipt rendering and delivery,Rendered receipt must faithfully reflect the fiscalized data,official_manual_test,high,KB-008,Covers printed and electronic delivery outputs
guidance_canonical,transform_resolution,Portal and receipt display expectation retained as approval-facing rendering guidance,RUL-045,GTIN and unit display,rendering,GTIN entry must be supported when present on an item and although GTIN need not be printed on the receipt the unit of measure must appear as part of the item name and GTIN must remain visible on the Administration Portal,error,Item rendering and portal reconciliation,Receipt and portal views must stay consistent,official_manual_test,high,KB-008,
guidance_canonical,transform_resolution,Receipt-frame containment retained as approval-facing rendering guidance,RUL-046,Receipt frame containment,rendering,All fiscal receipt elements must appear within the fiscal frame lines while only commercial or non-fiscal material may be rendered outside them,error,Receipt layout verification,Fiscal data must stay inside the fiscal frame,official_manual_test,high,KB-008,
core_canonical,REC-RUL-003,Legal classification is normative while the font-emphasis detail is sharpened by technical and manual-test material,RUL-047,Non fiscal notice typography,rendering,Copy Training and Proforma receipts must show the message OVO NIJE FISKALNI RACUN in letters twice the size of the remaining receipt text,error,Non-fiscal document rendering,Required notice must be visually dominant,official_manual_test,high,KB-008,The ESIR manual makes the double-size font an explicit review point
guidance_canonical,REC-RUL-008,This family mixes hard request-shape rules with manual and taxpayer-facing flow requirements,RUL-048,ESIR time exception,rendering,ESIR time must be omitted for all receipt and transaction types except Advance Sale that records a wire transfer whose banking evidence is older than the receipt day,error,Receipt rendering and advanced advance-sale scenarios,ESIR time appears only in the documented exception flow,official_manual_test,high,KB-008,Approval samples require an Advance Sale where ESIR time is at least one day ahead of PFR time
guidance_canonical,REC-RUL-008,This family mixes hard request-shape rules with manual and taxpayer-facing flow requirements,RUL-049,Reference time on copy and refund,validation,All Copy receipts and all Refund transactions must contain both reference number and reference time while Sale and Advance receipts may include them only when the use case requires it,error,ESIR issuance of copy or refund receipts,Receipt is invalid if required reference fields are missing,official_manual_test,high,KB-008,Manual note warns that missing reference time can cause tax-rate mismatches for older referenced receipts
guidance_canonical,REC-RUL-002,This family is driven mainly by manual-test expectations rather than protocol text,RUL-050,ESIR authenticates on startup,operational,ESIR must authenticate with the PFR each time it starts using the relevant BE credential or smart-card secret,error,ESIR startup and PFR connection,Startup is not complete until the PFR connection is established,official_manual_test,medium,KB-008,Manual scenario covers both LPFR and VPFR cases
guidance_canonical,REC-RUL-002,This family is driven mainly by manual-test expectations rather than protocol text,RUL-051,Electronic delivery parity,rendering,If ESIR supports electronic delivery it must be able to deliver every supported receipt type through the selected electronic channel without dropping mandatory fiscal data,error,Electronic invoice delivery,Delivered receipt preserves all mandatory content,official_manual_test,high,KB-008,
guidance_canonical,REC-RUL-002,This family is driven mainly by manual-test expectations rather than protocol text,RUL-052,ESIR price rounding,rendering,ESIR must display item prices and totals rounded to at least two decimals using half-up rounding,error,Receipt price presentation,Displayed values must follow the documented rounding examples,official_manual_test,high,KB-008,Examples include 10.267 to 10.27 20.143 to 20.14 and 1.2177 to 1.22
guidance_canonical,REC-RUL-002,This family is driven mainly by manual-test expectations rather than protocol text,RUL-053,Only PFR tax rates allowed,validation,ESIR must use only active tax rates exposed by the PFR and manual entry of a non-existent tax rate must block invoice issuance,error,Manual tax selection or stale cached tax data,Receipt must not be issued with unknown tax rates,official_manual_test,high,KB-008,
guidance_canonical,transform_resolution,Copy-refund signature-line expectation retained as approval-facing rendering guidance,RUL-054,Copy refund signature line,rendering,Copy Refund receipts must include a customer signature line,error,Copy Refund rendering,Missing signature line is a manual-test failure,official_manual_test,medium,KB-008,Derived from the common-mistakes section
guidance_canonical,REC-RUL-008,This family mixes hard request-shape rules with manual and taxpayer-facing flow requirements,RUL-055,Copy refund references Promet Refund,validation,Copy Refund receipts must reference the original Promet Refund receipt and not a Copy Sale receipt,error,Copy Refund issuance,Wrong referenced document chain is invalid,official_manual_test,high,KB-008,Derived from the common-mistakes section
core_canonical,REC-RUL-009,The codebook and technical instruction provide direct support for the code-prefixed syntax families and rendering baseline,RUL-056,Optional field omission versus empty string,validation,For optional JSON request fields omitting the property is not the same as sending an empty string because empty string values trigger validation failures such as 2802 or 2803,error,InvoiceRequest optional scalar fields,Absent optional values should be omitted rather than serialized as empty strings,official_spec,high,KB-006,The specification explicitly uses buyerId as the example
core_canonical,REC-RUL-009,The codebook and technical instruction provide direct support for the code-prefixed syntax families and rendering baseline,RUL-057,Buyer identification generic protocol length limits,validation,At the protocol layer buyerId allows at most 20 Unicode characters and buyerCostCenterId allows at most 50 Unicode characters before any Serbian codebook-specific validation is applied,error,Invoice with buyer identification or optional buyer field,Overlong values should fail length validation before deeper semantic checks,official_spec,high,KB-006; KB-016,Jurisdiction-specific semantics are layered on top of these generic limits
core_canonical,transform_resolution,Open-ended environment-endpoints schema is part of the canonical bootstrap contract,RUL-058,Environment endpoints open-ended schema,protocol,Get Environment Parameters returns a required endpoints object whose known keys taxpayerAdminPortal taxCoreApi vsdc and root are repeated across official examples but clients must tolerate additional keys because the response field list can grow,warning,Environment bootstrap and configuration,Use the known keys when present but keep parsers forward-compatible,official_spec,high,KB-006; REF-001,Repeated official examples and the reference app make the four keys strong known members rather than one-off helper data
core_canonical,transform_resolution,Structured validation-error payload contract is part of the canonical API surface,RUL-059,Validation error payload contract,protocol,Structured validation failures use a top-level message and a modelState array where each entry carries a property path and one or more shared status or error codes,error,HTTP validation failures from JSON endpoints,Clients can surface field-level errors without parsing free-form text,official_spec,high,KB-006,ModelErrors and ModelError are explicitly defined in the specification
core_canonical,REC-RUL-009,The codebook and technical instruction provide direct support for the code-prefixed syntax families and rendering baseline,RUL-060,Buyer identification syntax families,validation,Serbian buyer identification codes 10 11 13 14 15 16 20 21 22 23 30 31 32 33 34 35 36 and 40 use the generic code:value syntax while only code 12 extends it to code:PIB:JBKJS,error,Invoice with Serbian buyer identification,Unexpected extra separators should fail parsing before document-specific validation,official_technical,high,KB-016; KB-005,This narrows the remaining open work to per-document payload character classes and lengths
core_canonical,REC-RUL-009,The codebook and technical instruction provide direct support for the code-prefixed syntax families and rendering baseline,RUL-061,Buyer optional field syntax families,validation,Serbian buyer optional field codes 20 21 30 31 32 33 and 50 use the generic code:value syntax while code 60 uniquely requires a date-range payload,error,Invoice with Serbian optional buyer field,Unexpected date-range or separator structure should fail parsing before document-specific validation,official_technical,high,KB-016; KB-005,This narrows the remaining open work to per-document payload character classes and lengths
derived_layer,transform_resolution,Buyer optional-field generic payload class is a useful validator derivation rather than an explicit published schema,RUL-062,Buyer optional field generic payload class,validation,The Serbian buyerCostCenterId payload is documented as an alphanumeric designation of the related document or purpose unless a stricter format is documented for a specific code such as 60,warning,Invoice with Serbian optional buyer field,Validators should accept general alphanumeric document markers and then apply code-specific tightening where available,official_technical,high,KB-005; KB-016; KB-017,This supports SNPDV LNPDV PPO-PDV and corporate-card number scenarios without overfitting them to digits only
derived_layer,transform_resolution,Number-family split remains a derivation layer because exact national regexes are not published,RUL-063,Buyer identification number-family split,validation,Within the Serbian codebook the payloads behind codes 10 11 12 14 15 and 16 are explicitly described as named number systems PIB JMBG JBKJS and BPG and should therefore be treated as number-family identifiers even though their exact national lengths are not specified here,warning,Invoice with Serbian buyer identification,Use numeric-family parsing for these codes and keep exact length checks as a later stricter layer,derived_from_official,medium,KB-005; KB-016,This is stronger than pure free text but still intentionally stops short of asserting national regexes not stated in the source
derived_layer,transform_resolution,Foreign-TIN alphanumeric allowance is a derived validator bridge from generic TIN guidance to Serbian code 40,RUL-064,Foreign TIN is not digits-only,validation,Validators must not assume that a foreign TIN is numeric-only because TaxCore documentation explicitly states that TINs in some countries may contain letters,warning,Invoice with Serbian buyer identification code 40,Buyer identification code 40 should allow alphanumeric payloads rather than a digits-only regex,derived_from_official_plus_codebook,medium,KB-006; KB-016,This bridges the generic TIN formatting guidance to the Serbian foreign-TIN code
core_canonical,REC-RUL-012,The BE rulebook provides the strongest baseline and taxpayer-facing guidance only adds operational detail,RUL-065,Security element mandatory for fiscal status,normative,A receipt issued without using the security element cannot be treated as a fiscal receipt,error,Fiscalization and receipt validity,Issuance without the BE is legally non-fiscal,official_normative,high,KB-011,This is a direct legal rule not just an implementation detail
core_canonical,REC-RUL-012,The BE rulebook provides the strongest baseline and taxpayer-facing guidance only adds operational detail,RUL-066,Security element binding scope,normative,The security element is personalized to a specific taxpayer business premises and business room and must not be used by an unauthorized party in another premises room or mismatched fiscal device,error,Security element assignment and deployment,The BE must be bound to the intended EFU installation scope,official_normative,high,KB-011,This sharply limits cross-device or cross-location reuse
core_canonical,REC-RUL-012,The BE rulebook provides the strongest baseline and taxpayer-facing guidance only adds operational detail,RUL-067,Security element normative counter obligations,normative,After each transaction the security element must maintain and increment counters for invoice sequence receipt-kind and transaction splits tax-rate totals and overall turnover and tax totals,error,Security element fiscal state management,Counter integrity is a mandatory BE responsibility,official_normative,high,KB-011,The rulebook states both the counter families and that they increase after each transaction
core_canonical,REC-RUL-012,The BE rulebook provides the strongest baseline and taxpayer-facing guidance only adds operational detail,RUL-068,Security element allowed issuance forms,normative,The Serbian security element may be issued only in the documented forms smart card smart SD card USB token or protected file such as PFX,warning,Provisioning and adapter support,Supported deployment options should map to one of the normative BE forms,official_normative,high,KB-011,
core_canonical,REC-RUL-012,The BE rulebook provides the strongest baseline and taxpayer-facing guidance only adds operational detail,RUL-069,Security element certificate lifecycle,normative,The BE certificate validity window is at least one year and at most four years and after expiry the BE must no longer be used,error,Security element lifecycle management,Expired BE blocks further valid fiscalization,official_normative,high,KB-011,The same rule also allows requesting a replacement within 30 days before expiry
core_canonical,REC-RUL-012,The BE rulebook provides the strongest baseline and taxpayer-facing guidance only adds operational detail,RUL-070,Security element replacement lead time,normative,A new security element may be requested within the 30-day window before expiry of the current one,warning,Operational renewal planning,Renewal should be tracked ahead of certificate expiration,official_normative,high,KB-011,
core_canonical,REC-RUL-012,The BE rulebook provides the strongest baseline and taxpayer-facing guidance only adds operational detail,RUL-071,Security element incident deactivation window,normative,If the security element is stolen damaged or destroyed the taxpayer must notify the Tax Authority electronically within three days so it can be deactivated,error,Security incident handling,Deactivation notice must be sent through the Tax Authority portal within three days,official_normative,high,KB-011,
core_canonical,REC-RUL-012,The BE rulebook provides the strongest baseline and taxpayer-facing guidance only adds operational detail,RUL-072,Security element certificate dual purpose,normative,The certificate inside the security element is used both to reproduce the taxpayer digital signature on fiscal receipts and to reproduce the protected taxpayer secret when connecting to the Tax Authority system,warning,Authentication and signing design,Do not model BE certificates as signing-only artifacts,official_normative,high,KB-011,
core_canonical,REC-RUL-013,These primitives are directly supported by concepts and protocol material,RUL-073,UID canonical format and certificate binding,validation,UID is a secure-element identifier that always consists of 8 uppercase alphanumeric characters and is stored in the digital certificate Subject SERIALNUMBER field,error,Certificate parsing invoice-number composition and status payloads,Parsers and validators should treat UID as a strict 8-character uppercase token,official_spec,high,KB-006; KB-010,
core_canonical,REC-RUL-013,These primitives are directly supported by concepts and protocol material,RUL-074,PFX certificate password format,validation,PFX certificate password is always an 8-character uppercase alphanumeric code,error,PFX installation and connected-scenario setup,Reject or flag malformed PFX password captures before attempting certificate installation,official_spec,high,KB-010,
core_canonical,REC-RUL-013,These primitives are directly supported by concepts and protocol material,RUL-075,PAC code format,validation,PAC is always a 6-character uppercase alphanumeric code used to confirm authorization when issuing fiscal invoices with a PFX certificate,error,Connected V-SDC authentication with PFX certificate,Reject malformed PAC inputs before attempting authenticated requests,official_spec,high,KB-010,
core_canonical,REC-RUL-004,Normative and technical sources align that QR and hyperlink are two renderings of the same verification path,RUL-076,QR code represents verification URL,rendering,Printed QR code is a machine-readable representation of the verification URL and must respect the documented minimum size of 40x40mm while electronic receipts may use the clickable verification URL instead,error,Receipt output and rendering,Printed receipts must render a scannable QR code and electronic receipts must preserve the verification hyperlink,official_spec,high,KB-006; KB-010,
core_canonical,REC-RUL-013,These primitives are directly supported by concepts and protocol material,RUL-077,MRC canonical structure and audit obligation,validation,Manufacturer Registration Code must follow the three-part ProductCode-ProductVersionCode-DeviceSerialNumber structure where ProductCode has 2 alphanumeric characters ProductVersionCode has 4 alphanumeric characters and all three parts are mandatory for audit packages,error,E-SDC identity metadata and audit package generation,MRC serializers should preserve the three-part structure and never omit a part in audit data,official_spec,high,KB-006; KB-010,
guidance_canonical,REC-RUL-005,The JSON mode is explicit in the applications guidance but not part of the core LPFR protocol spec,RUL-078,Verification URL JSON negotiation,protocol,Public receipt-verification URL may return machine-readable JSON when called with Accept application/json in addition to the human-facing verification page,warning,Verification-system integration and debugging,Consumers can automate verification lookup without screen scraping,official_guidance,medium,KB-013,
reference_only,REC-RUL-015,Useful for adapter work but the authoritative contract remains the official CreateInvoice protocol,RUL-079,V-SDC reference request envelope,protocol,Reference V-SDC integration uses the same POST /api/v3/invoices body contract together with a client certificate selected by subject CN and a PAC header while Accept-Language and RequestId remain optional headers,warning,Connected-scenario V-SDC integration,Model transport/auth concerns separately from the fiscal invoice payload itself,reference_impl,medium,REF-002,Reference-only transport sample; do not elevate above the official CreateInvoice contract even though it is useful for adapter work
