BacklogId,SourceUnitId,SourcePath,LineRefs,CandidateKind,LayerHint,CandidateLabel,RawBacklogText,Authority,Confidence,ExistingWorkRefs,SecondPassStatus,Notes
BKL-011,SRC-006,/tmp/open_esir_corpus_extracts/Technical-Documentation.txt,3790-3899,type_cluster,lpfr_service,InvoiceResult and TaxItem field cluster,"CreateInvoice response field set includes requestedBy signedBy sdcDateTime invoiceCounter invoiceCounterExtension invoiceNumber verificationUrl verificationQRCode journal totalCounter transactionTypeCounter totalAmount encryptedInternalData signature taxItems businessName locationName address tin district taxGroupRevision mrc messages and TaxItem fields label categoryName categoryType rate amount.",official_spec,high,TYP-003; TYP-006; fields.csv,pending,Second pass should split InvoiceResult TaxItem and response-only rule candidates
BKL-012,SRC-006,/tmp/open_esir_corpus_extracts/Technical-Documentation.txt,3865-3876,rule,lpfr_service,MRC response vs audit rule,"MRC is mandatory in audit packages sent to the tax authority but optional in the invoice response returned to POS.",official_spec,high,TYP-031,pending,Second pass should attach to journal/audit boundaries
BKL-013,SRC-006,/tmp/open_esir_corpus_extracts/Technical-Documentation.txt,5297-5348,contract,lpfr_service,GetLastSignedInvoice,"GET /api/v3/invoices/{requestId} returns the same response shape as CreateInvoice or null if not found; used when POS did not receive a response from CreateInvoice.",official_spec,high,CTR-006,pending,Recovery contract
BKL-014,SRC-006,/tmp/open_esir_corpus_extracts/Technical-Documentation.txt,5352-5368,rule,operational,RequestId uniqueness and retention,"If multiple POS devices share one E-SDC RequestId must be unique at the shared scope; GUID or POS_id plus request_id is recommended; last responses should be stored per request_id plus secure element UID in non-volatile memory at least until the next request.",official_spec,high,RUL-096; RUL-097; EX-041,pending,High-value operational guidance
BKL-015,SRC-006,/tmp/open_esir_corpus_extracts/Technical-Documentation.txt,5373-5404,type,lpfr_service,ValidationError model,"Error format is ModelErrors with message and modelState; ModelError has property and errors; property paths include array indexes in square brackets when needed.",official_spec,high,TYP-025; fields.csv,pending,Useful for ESIR validation UX
BKL-016,SRC-007,/tmp/open_esir_corpus_extracts/Concepts.txt,185-212,primitive_pair,domain,Pfx credentials,"PFX certificate password is always an 8-character uppercase alphanumeric code and PAC is always a 6-character uppercase alphanumeric code.",official_spec,high,TYP-029; TYP-030,pending,Stable glossary primitives
BKL-017,SRC-007,/tmp/open_esir_corpus_extracts/Concepts.txt,232-242,rule,domain,Verification URL required and rendered,"Verification URL is a standard component of every fiscal invoice, generated by SDC, returned in the response and rendered as QR code on printed receipts or as a hyperlink in electronic delivery.",official_spec,high,TYP-032; RUL-011,pending,Strong conceptual rule with rendering impact
BKL-018,SRC-007,/tmp/open_esir_corpus_extracts/Concepts.txt,311-345,rule_cluster,domain,Smart-card PIN and semi-connected E-SDC,"Smart card PIN is always 4 digits; after valid entry it need not be re-entered until card removal; E-SDC exposes JSON-based protocols to POS and stores audit data in internal memory for local and remote audits.",official_spec,high,RUL-015; journal_audit,pending,Contains both auth and offline-audit semantics
BKL-019,SRC-007,/tmp/open_esir_corpus_extracts/Concepts.txt,401-476,type,domain,ManufacturerRegistrationCode,"MRC consists of ProductCode ProductVersionCode and DeviceSerialNumber; it is mandatory in audit packages and optional in fiscalized data returned to POS; DeviceSerialNumber may contain special characters up to length 32.",official_spec,high,TYP-031; EX-031,pending,Use this source together with the protocol spec
BKL-020,SRC-013,/tmp/open_esir_corpus_extracts/Апликације.txt,200-239,contract,public_verification,Public verification JSON mode,"Invoice verification can be called by GET on the verification URL with Accept application/json and no authentication.",official_guidance,high,CTR-014; EX-033,pending,This is a public machine-readable contract even though it is documented in the applications guide
BKL-021,SRC-013,/tmp/open_esir_corpus_extracts/Апликације.txt,243-357,type_cluster,public_verification,InvoiceVerificationResponse shape,"Verification JSON response contains invoiceRequest invoiceResult journal and isValid; nested request/result objects expose POS time taxpayer/location/buyer/payment data and fiscalization counters plus invoice number and signedBy.",official_guidance,high,TYP-034; TYP-035; TYP-036; TYP-037,pending,Second pass should split nested view types and fields
BKL-022,SRC-013,/tmp/open_esir_corpus_extracts/Апликације.txt,361-418,enum_set,public_verification,Public verification numeric enums,"Applications guide maps invoiceType as 0 Promet 1 Predračun 2 Kopija 3 Obuka 4 Avans; transactionType as 0 Prodaja 1 Refundacija; paymentType as 0 Drugo bezgotovinsko 1 Gotovina 2 Platna kartica 3 Ček 4 Prenos na račun 5 Voucher 6 Instant plaćanje.",official_guidance,high,ENUM public verification mappings,pending,Useful numeric crosswalk beside protocol string names
BKL-023,REF-002,knowledge_base/VSDCRequestSubmitterV3.0/VSDCRequestSubmitter/Proxies/VSDCApiProxy.cs,31-66,reference_contract,vsdc_transport,Reference V-SDC envelope,"Reference client loads a certificate from StoreName.My StoreLocation.CurrentUser by subject CN, sends PAC header and optional Accept-Language and RequestId headers, then POSTs to /api/v3/invoices.",reference_impl,high,RUL-079; EX-035,pending,Reference-only evidence that supports transport interpretation
BKL-024,REF-004,knowledge_base/TaxCore.Libraries.Certificates/src/Certificates/CertificateTypes.cs,9-110,reference_enum,certificate_adapter,Certificate classes V31-V38,"Reference certificate library enumerates certificate classes V31 through V38 and OID suffixes 3.1 through 3.8 including auth signing encryption and developer variants.",reference_impl,high,ENUM-066..ENUM-073,pending,Reference adapter evidence
BKL-025,REF-004,knowledge_base/TaxCore.Libraries.Certificates/src/Certificates/Certificate.cs,79-252,reference_type,certificate_adapter,CertificateMetadata surface,"Reference certificate helper exposes metadata such as UniqueIdentifier CommonName RequestedBy Organization ExpiryDate CertificateType GivenName SurName OrganizationUnit StreetAddress State role flags plus ExtractTIN and ExtractTaxCoreApiUrl.",reference_impl,high,TYP-038; fields.csv,pending,Do not elevate above official protocol without corroboration
BKL-026,REF-003,knowledge_base/Secure-Element-Reader/src/SecureElementReader/Services/ApduCommandService.cs,10-125,reference_contract_set,secure_element,Reference APDU command set,"Reference smart-card adapter exposes SelectPKIApp SelectSEApp GetSECert GetPKICert VerifyPkiPin VerifySEPin AmountStatus GetExportInternalData SECommand and FinishAudit with concrete APDU bytes.",reference_impl,high,CTR-015; CTR-016; CTR-017; CTR-018,pending,Good source for adapter boundaries and byte-level examples
BKL-027,REF-003,knowledge_base/Secure-Element-Reader/src/SecureElementReader/Services/CardReaderService.cs,43-100,reference_status_set,smart_card,PKI and SE PIN result mapping,"Reference card reader maps PKI 0x6983 to locked PKI applet, PKI SW1 0x63 to remaining tries in SW2, and SE 0x63 0x10 to locked SE applet.",reference_impl,high,SMART_CARD_STATUS rows; RUL-099,pending,Useful for adapter UX and status translation
BKL-028,REF-003,knowledge_base/Secure-Element-Reader/src/SecureElementReader/ViewModels/VerifyPinDialogViewModel.cs,131-199,reference_rule,smart_card,Remaining tries and lock UX,"Reference UI subtracts 192 from PkiTrysLeft to display remaining attempts and distinguishes combined card-return messaging from SE-only and PKI-only locked states.",reference_impl,medium,RUL-100,pending,UX mapping evidence rather than protocol truth
BKL-029,REF-001,knowledge_base/Taxcore-MobilePOS-Android/app/src/main/java/online/taxcore/pos/ui/invoice/InvoiceFragment.kt,112-113,reference_validator,esir_host,Referent document regex,"Reference Android host validates referentDocumentNumber with regex ^[0-9a-zA-Z]{8}-[0-9a-zA-Z]{8}-[0-9]+$.",reference_impl,high,REF-001 note; examples.csv,pending,Useful as implementation evidence for the reference-number format
BKL-030,REF-001,knowledge_base/Taxcore-MobilePOS-Android/app/src/main/java/online/taxcore/pos/ui/invoice/InvoiceFragment.kt,755-785,reference_schema_drift,esir_host,Wrapper-only request fields,"Reference Android host still writes wrapper-only top-level paymentType and hash fields while also filling the canonical payment array and core invoice fields.",reference_impl,high,open_questions resolution; candidate_log,pending,Keep separate from canonical request schema
BKL-031,REF-001,knowledge_base/Taxcore-MobilePOS-Android/app/src/main/java/online/taxcore/pos/data/local/JournalManager.kt,118-163,reference_journal,esir_host,Local journal persistence shape,"Reference host persists invoice response fields such as sdcDateTime totalAmount journal QR invoiceNumber requestedBy counters verificationUrl signedBy encryptedInternalData signature taxGroupRevision plus buyer and payment context.",reference_impl,medium,journal_audit notes,pending,Important for later local-journal design
BKL-032,REF-001,knowledge_base/Taxcore-MobilePOS-Android/app/src/main/java/online/taxcore/pos/data/PrefService.kt,162-191,reference_env,esir_host,Environment persistence shape,"Reference host persists country logo taxCoreApi environment names uid and endpoint-derived data from environment-parameters and status responses.",reference_impl,medium,EnvironmentParametersResponse,pending,Useful for host/application configuration planning
BKL-033,SRC-005,/tmp/open_esir_corpus_extracts/Tehnickouputstvo-ESIRiliL-PFR.txt,516-518,rule,approval,Receipt-appearance reapproval,"Every new product version that affects the appearance of the fiscal receipt requires a new approval.",official_technical,high,RUL-004,pending,Important approval-control rule from the technical instruction
BKL-034,SRC-005,/tmp/open_esir_corpus_extracts/Tehnickouputstvo-ESIRiliL-PFR.txt,1125-1132,rendering_rule,receipt_rendering,Buyer and optional buyer-field rendering,"Receipt must display buyerId when required; optional buyer field is used only in the same kind of identified-buyer transaction and is shown only when needed.",official_technical,high,RUL-090; EX-029,pending,High-value rendering and scope rule
BKL-035,SRC-005,/tmp/open_esir_corpus_extracts/Tehnickouputstvo-ESIRiliL-PFR.txt,1148-1169,rendering_rule,receipt_rendering,Referent number rendering and fallback forms,"Receipt must display referent number on Copy and Refund and on Normal Sale linked to Advance Refund; value normally uses the PFR-number format and the instruction also documents fallback placeholder forms for pre-EFU bookkeeping and old fiscal cash registers.",official_technical,high,RUL reference-number; EX examples,pending,Needs second-pass split into baseline rule and legacy-fallback examples
BKL-036,SRC-005,/tmp/open_esir_corpus_extracts/Tehnickouputstvo-ESIRiliL-PFR.txt,1198-1206,rendering_rule,receipt_rendering,Non-fiscal document warning,"Copy Proforma and Training documents must contain the message OVO NIJE FISKALNI RACUN and the text must be clearly visible with font at least double the size of the rest of the document text.",official_technical,high,RUL-007,pending,This sharpens the already seeded non-fiscal rendering rule
BKL-037,SRC-005,/tmp/open_esir_corpus_extracts/Tehnickouputstvo-ESIRiliL-PFR.txt,1220-1233,rendering_rule,receipt_rendering,QR versus hyperlink and size rule,"QR code contains the verification URL internal data and digital signature; if receipt is delivered electronically the QR code is replaced by a hyperlink URL; printed QR size must be at least 40x40 mm and at most 50x50 mm.",official_technical,high,RUL-011; TYP-032,pending,This is stronger than the looser conceptual statement
BKL-038,SRC-005,/tmp/open_esir_corpus_extracts/Tehnickouputstvo-ESIRiliL-PFR.txt,1560-1579,rule_cluster,lpfr_core,LPFR fiscalization obligations,"LPFR must validate request structure calculate tax from active tax rates round sums to 4 decimals using half-round-up send fiscalization data with current date time and PIN to the secure element receive the signed invoice create a journal file generate the verification URL return fiscalized data to ESIR and display errors as prescribed by the technical guide.",official_technical,high,LPFR core rules,pending,Second pass should split these into separate validator/algorithm/journal/transport rules
BKL-039,SRC-005,/tmp/open_esir_corpus_extracts/Tehnickouputstvo-ESIRiliL-PFR.txt,1598-1618,rule_cluster,lpfr_core,LPFR forbidden functions and PIN storage,"LPFR must not return arbitrary data on error beyond defined error codes unless documented, must reject nonexistent or inactive tax rates, must not allow protocol-parameter changes, must not store PIN anywhere except working memory, and after restart the operator must re-enter the PIN.",official_technical,high,RUL-094; RUL-015,pending,Contains several negative constraints that should become separate rules later
BKL-040,SRC-005,/tmp/open_esir_corpus_extracts/Tehnickouputstvo-ESIRiliL-PFR.txt,2019-2028,example,refund_flow,Refund cancellation example with seller TIN as buyerId,"The worked example shows buyerId 10:111111111 for the seller taxpayer and referentDocumentNumber plus referentDocumentDT for the invoice being canceled.",official_technical,high,EX refund cancellation example,pending,Useful for the refund/cancellation branch in the second pass
BKL-041,SRC-009,/tmp/open_esir_corpus_extracts/RucnoTestiranjeLPFR-a_v10.txt,860-909,manual_rule,lpfr_service,Card removal and PIN reset behavior,"Manual test requires LPFR to stop operating as soon as the smart card is removed and to require a fresh valid PIN after the card is reinserted.",official_manual_test,high,RUL-001; RUL-015,pending,Operational expectation source
BKL-042,SRC-009,/tmp/open_esir_corpus_extracts/RucnoTestiranjeLPFR-a_v10.txt,962-982,manual_endpoint_matrix,lpfr_service,No-card endpoint expectations,"Without a card inserted the manual test expects /api/v3/environment-parameters -> 1300 [400], /api/v3/status -> gsc 1300 1500 0210 [200], /api/v3/pin -> 1300 [200], /api/v3/invoices -> 1300 [400], and /api/v3/invoices/{requestId} -> 1300 [400].",official_manual_test,high,LPFR_HTTP_EXPECTATION rows,pending,Important operational matrix
BKL-043,SRC-009,/tmp/open_esir_corpus_extracts/RucnoTestiranjeLPFR-a_v10.txt,1016-1049,manual_example,lpfr_service,Manual CreateInvoice example payload,"Manual testing document includes a worked CreateInvoice payload with buyerId buyerCostCenterId reference number options omitQRCodeGen and omitTextualRepresentation and a Unicode item example.",official_manual_test,high,EX-002,pending,Useful as a source-backed request example
BKL-044,SRC-009,/tmp/open_esir_corpus_extracts/RucnoTestiranjeLPFR-a_v10.txt,1066-1091,manual_endpoint_matrix,lpfr_service,Card-inserted PIN-state endpoint expectations,"With a card inserted but no valid PIN the manual test expects /api/v3/status -> gsc 1500 0210 [200], /api/v3/invoices -> 1500, and /api/v3/pin with a wrong PIN -> 2100 [423]; after valid PIN entry /api/v3/pin -> 0100 [200] and /api/v3/status -> 0100 [200].",official_manual_test,high,LPFR_HTTP_EXPECTATION rows,pending,High-value operational matrix for ESIR-LPFR integration handling
BKL-045,SRC-001,/tmp/open_esir_corpus_extracts/Zakonofiskalizaciji.txt,14-59,type_cluster,legal_foundation,Core legal definitions,"Law defines fiscalization retail invoice advance payment secure processor fiscal invoice electronic fiscal device tax core API ESIR PFR secure element and related foundational terms used across the system.",official_law,high,TYP foundational vocabulary,pending,Keep as raw legal glossary material for second-pass domain normalization
BKL-046,SRC-001,/tmp/open_esir_corpus_extracts/Zakonofiskalizaciji.txt,66-82,rule,legal_foundation,Fiscalization subject scope,"Fiscalization applies to every retail sale of goods and services and to every received advance payment for future retail turnover.",official_law,high,RUL fiscalization scope,pending,Top-level domain boundary
BKL-047,SRC-001,/tmp/open_esir_corpus_extracts/Zakonofiskalizaciji.txt,86-107,rule,legal_foundation,Payment-method neutrality,"Every transaction that falls under fiscalization must be recorded regardless of whether payment is cash card transfer voucher instant transfer or any other payment method.",official_law,high,RUL payment neutrality,pending,Important for later reconciliation with payment enums
BKL-048,SRC-001,/tmp/open_esir_corpus_extracts/Zakonofiskalizaciji.txt,111-148,rule_cluster,receipt_content,Legally mandatory receipt elements,"Law enumerates mandatory fiscal receipt elements at the legal level including taxpayer identity location time identification and verification-related receipt content.",official_law,high,RUL legal receipt minimums,pending,Needs second-pass mapping against technical and rulebook-level receipt fields
BKL-049,SRC-001,/tmp/open_esir_corpus_extracts/Zakonofiskalizaciji.txt,151-197,rule_cluster,device_architecture,EFD composition and backup rule,"Electronic fiscal device may be composed of ESIR one or more PFR components and a secure element; when only the online processor is used a backup processor at the sales location is required, and the device must support automatic stop functionality via the secure element.",official_law,high,RUL EFD composition; adapter architecture,pending,High-value architecture source for ESIR LPFR V-PFR modeling
BKL-050,SRC-001,/tmp/open_esir_corpus_extracts/Zakonofiskalizaciji.txt,199-215,rule,online_offline,Realtime delivery with offline catch-up,"Receipt data is delivered to the Tax Administration in real time when connectivity exists and otherwise must be delivered later, with the legal offline catch-up maximum defined as five days.",official_law,high,RUL offline delivery window,pending,Foundational offline rule for journal and resend logic
BKL-051,SRC-003,/tmp/open_esir_corpus_extracts/Pravilnikovrstamafiskalnihraunatipovimatransakcija.txt,19-61,enum_cluster,receipt_domain,Receipt kinds and non-fiscal document variants,"Rulebook distinguishes invoices for retail turnover and advance payments and also non-fiscal documents such as copy training slip and proforma, with visual distinction legends and formatting obligations.",official_rulebook,high,InvoiceType family; non-fiscal rendering rules,pending,Key source for invoice/document taxonomy
BKL-052,SRC-003,/tmp/open_esir_corpus_extracts/Pravilnikovrstamafiskalnihraunatipovimatransakcija.txt,63-83,rule,receipt_domain,Corporate-card and refund nuance,"Special rulebook section covers corporate card usage and the possibility of refund scenarios tied to that buyer-identification context.",official_rulebook,high,RUL corporate card; buyerId context,pending,Bridge between payment mode and buyer identification
BKL-053,SRC-003,/tmp/open_esir_corpus_extracts/Pravilnikovrstamafiskalnihraunatipovimatransakcija.txt,85-100,enum,receipt_domain,Transaction types,"Rulebook defines transaction-type families for sale and refund or cancellation behavior.",official_rulebook,high,TransactionType,pending,Second pass should normalize exact labels and refund/cancel semantics
BKL-054,SRC-003,/tmp/open_esir_corpus_extracts/Pravilnikovrstamafiskalnihraunatipovimatransakcija.txt,102-108,rule,receipt_items,Optional GTIN,"GTIN on invoice items is optional according to the rulebook.",official_rulebook,high,RUL GTIN optional,pending,Simple but important item-field rule
BKL-055,SRC-003,/tmp/open_esir_corpus_extracts/Pravilnikovrstamafiskalnihraunatipovimatransakcija.txt,109-115,rule,tax_domain,Tax rates sourced from SUF,"Applied tax rates and tax-category data must follow the values obtained from the Tax Administration system rather than arbitrary local definitions.",official_rulebook,high,RUL tax rates from SUF,pending,Useful to separate domain data from local POS configuration
BKL-056,SRC-003,/tmp/open_esir_corpus_extracts/Pravilnikovrstamafiskalnihraunatipovimatransakcija.txt,117-156,enum_cluster,payment_domain,Payment methods and mixed-payment rules,"Rulebook enumerates payment methods and adds context-specific restrictions for certain on-site food or bakery flows plus allocation rules for mixed payments.",official_rulebook,high,PaymentType family; mixed payment rules,pending,Needs exact second-pass extraction of labels and constraints
BKL-057,SRC-003,/tmp/open_esir_corpus_extracts/Pravilnikovrstamafiskalnihraunatipovimatransakcija.txt,158-162,validator,receipt_content,Invoice datetime format,"Receipt date and time format is prescribed as dd.mm.yyyy HH:mm:ss.",official_rulebook,high,DateTime format rule,pending,Concrete formatting validator
BKL-058,SRC-003,/tmp/open_esir_corpus_extracts/Pravilnikovrstamafiskalnihraunatipovimatransakcija.txt,163-183,rule_cluster,numbering,Invoice counters and uniqueness,"Rulebook prescribes counters and uniqueness behavior for invoice numbering at the fiscal receipt level.",official_rulebook,high,InvoiceNumber rules,pending,Should reconcile with status lastInvoiceNumber semantics later
BKL-059,SRC-003,/tmp/open_esir_corpus_extracts/Pravilnikovrstamafiskalnihraunatipovimatransakcija.txt,185-200,rule,receipt_rendering,QR code or hyperlink sizing,"Rulebook prescribes a QR code or verification hyperlink on the receipt together with a minimum size requirement around 40x40 mm and related presentation constraints.",official_rulebook,high,RUL verification presentation,pending,Needs reconciliation with technical-guide rendering requirements
BKL-060,SRC-003,/tmp/open_esir_corpus_extracts/Pravilnikovrstamafiskalnihraunatipovimatransakcija.txt,202-220,rule_cluster,reference_flow,Referent document number use cases,"Rulebook defines when referent document number and related reference data are used across refund cancellation and linked-document scenarios.",official_rulebook,high,ReferentDocument rules,pending,High-value for refund and copy flows
BKL-061,SRC-002,/tmp/open_esir_corpus_extracts/Pravilnik_bezbednosni_element.txt,8-28,rule_cluster,secure_element,Secure element purpose and mandatory use,"Security element is issued by the Tax Administration for taxpayer authentication invoice signing data-integrity protection and receipt verification; a receipt issued without using the security element cannot be treated as a fiscal receipt.",official_rulebook,high,RUL BE mandatory; secure-element domain,pending,Foundational BE obligation
BKL-062,SRC-002,/tmp/open_esir_corpus_extracts/Pravilnik_bezbednosni_element.txt,30-42,type_cluster,secure_element,Secure element counters,"Security element maintains counters after each transaction for unique invoice numbering by invoice kind and transaction type and for turnover and tax totals by tax rates and overall amounts.",official_rulebook,high,TYP secure-element counters,pending,Important for audit and amount-status modeling
BKL-063,SRC-002,/tmp/open_esir_corpus_extracts/Pravilnik_bezbednosni_element.txt,44-49,enum,secure_element,Supported security element forms,"Security element may exist as smart card smart SD card USB token or protected file such as PFX.",official_rulebook,high,SecurityElementForm enum,pending,Useful for adapter and deployment taxonomy
BKL-064,SRC-002,/tmp/open_esir_corpus_extracts/Pravilnik_bezbednosni_element.txt,51-55,rule,secure_element,Certificate signs invoices and reproduces protected password,"Electronic certificate inside the security element reproduces the taxpayer digital signature for every fiscal invoice and reproduces the protected taxpayer password when connecting to the Tax Administration fiscalization system.",official_rulebook,high,PAC/PFX linkage; secure auth,pending,Bridge between certificate usage and SUF connectivity
BKL-065,SRC-002,/tmp/open_esir_corpus_extracts/Pravilnik_bezbednosni_element.txt,57-77,rule_cluster,secure_element,Security element issuance procedure,"Security element is issued on taxpayer application containing technical specification pickup method and quantity; the Tax Administration generates it within seven days and keeps issuance records.",official_rulebook,high,RUL BE issuance workflow,pending,Operational but important for provisioning assumptions
BKL-066,SRC-002,/tmp/open_esir_corpus_extracts/Pravilnik_bezbednosni_element.txt,79-90,rule_cluster,secure_element,Certificate validity renewal and deactivation,"Security element certificate validity is time-limited from at least one year to at most four years, renewal can be requested within thirty days before expiry, and theft damage or destruction must be reported within three days for deactivation.",official_rulebook,high,RUL certificate lifetime; deactivation,pending,Important lifecycle rule set
BKL-067,SRC-004,/tmp/open_esir_corpus_extracts/Tehnickivodic.txt,44-101,type_cluster,architecture,Technical guide core definitions,"Technical guide restates and operationalizes the core concepts of EFU SUF PFR ESIR secure element electronic signature supplier business location and payment.",official_technical,medium,TYP foundational vocabulary; legal glossary,pending,Lower authority than law but useful because it frames implementation responsibilities
BKL-068,SRC-004,/tmp/open_esir_corpus_extracts/Tehnickivodic.txt,104-155,rule_cluster,architecture,EFD composition readiness and allowed topologies,"EFU consists of one PFR one or more ESIR instances and a security element; it is considered ready only when approved components are successfully connected to SUF, and the guide lists multiple allowed local and virtual deployment topologies including ERP and web-shop scenarios.",official_technical,high,RUL EFD composition; deployment patterns,pending,Strong architecture source for modular ESIR LPFR VPFR design
BKL-069,SRC-004,/tmp/open_esir_corpus_extracts/Tehnickivodic.txt,276-325,rule_cluster,secure_element,Technical-guide security element behavior,"Guide states that the security element is personalized per taxpayer and location, signs receipts, reproduces protected credentials, is independent from ESIR and LPFR suppliers, can be issued for testing but not production use, can be deactivated from SUF, auto-locks when configured limits are exceeded until SUF unlocks it, and communicates with PFR through a defined protocol.",official_technical,high,RUL BE mandatory; AmountStatus/Audit flow,pending,High-signal operational complement to the rulebook
BKL-070,SRC-004,/tmp/open_esir_corpus_extracts/Tehnickivodic.txt,330-352,rule_cluster,pfr_core,PFR core responsibilities,"PFR receives transaction data from ESIR analyzes and fiscalizes it calculates tax maintains time and calendar communicates with the security element stores transaction data and transfers fiscal data to SUF; it cannot operate without a security element.",official_technical,high,PFR responsibility set,pending,Good functional decomposition source
BKL-071,SRC-004,/tmp/open_esir_corpus_extracts/Tehnickivodic.txt,354-379,rule_cluster,vpfr,V-PFR requirements,"Virtual PFR is a Tax Administration internet service authenticated with locally installed digital certificates, requires internet connectivity, exposes a unique public address, may fail over between active instances, embeds the security element, and returns time date and tax totals to ESIR.",official_technical,high,V-PFR contract context,pending,Important when we later derive generic PFR contracts
BKL-072,SRC-004,/tmp/open_esir_corpus_extracts/Tehnickivodic.txt,380-441,rule_cluster,lpfr,L-PFR requirements and reading modes,"Local PFR may be hardware or software integrated or independent from ESIR, communicates with ESIR SUF and the security element using ISO/IEC 7816-4, stores encrypted unsent data, supports both internet and local reading, processes SUF commands sequentially, must work offline for fiscalization, must expose an external interface for tax-officer download, and must show current state to the operator.",official_technical,high,LPFR duty set; audit/journal flow,pending,Very strong source for LPFR adapter surface and operational rules
BKL-073,SRC-004,/tmp/open_esir_corpus_extracts/Tehnickivodic.txt,443-463,contract_cluster,esir_transport,ESIR output and transport behavior,"ESIR may issue electronic or printed receipts, receives fiscal data including QR or verification hyperlink from PFR, communicates with LPFR over HTTP and with VPFR over HTTPS.",official_technical,high,ESIR transport rules,pending,Direct transport-layer design input
BKL-074,SRC-004,/tmp/open_esir_corpus_extracts/Tehnickivodic.txt,470-495,contract_cluster,receipt_flow,Two-phase receipt creation contract,"Receipt creation is explicitly a two-phase flow: ESIR sends a request with invoice kind transaction type payment item and buyer-taxpayer data, and PFR returns a response containing taxpayer identity signed timestamp sequential number digital signature and shareable security-element data.",official_technical,high,CTR-001; TYP invoice request/response,pending,Good source for abstract contract narrative beyond raw API spec
