CatalogLayer,LayerBasis,LayerNotes,CodeSystem,Code,Layer,TransportShape,HttpStatus,Text,Meaning,Trigger,Retryable,Priority,Authority,Confidence,SourceRefs,Notes
core_canonical,REC-ERR-003,The validation payload model and VerifyPin format rules support these codes directly,GENERAL_STATUS_CODE,2805,shared,code_string,n/a,Invalid Field Value,Field contains an invalid value,Enum or semantic validation failure,yes,error,official_spec,high,KB-006,
core_canonical,REC-ERR-003,The validation payload model and VerifyPin format rules support these codes directly,GENERAL_STATUS_CODE,2806,shared,code_string,n/a,Invalid Data Format,Field or body format is invalid,Format validation failure,yes,error,official_spec,high,KB-006,
core_canonical,REC-ERR-003,The validation payload model and VerifyPin format rules support these codes directly,GENERAL_STATUS_CODE,2807,shared,code_string,n/a,List Too Short,List does not contain the minimum required number of elements,Empty items or labels list,yes,error,official_spec,high,KB-006,
core_canonical,REC-ERR-003,The validation payload model and VerifyPin format rules support these codes directly,GENERAL_STATUS_CODE,2808,shared,code_string,n/a,List Too Long,List exceeds maximum allowed length or byte size,Too many items or labels,yes,error,official_spec,high,KB-006,
core_canonical,REC-ERR-003,The validation payload model and VerifyPin format rules support these codes directly,GENERAL_STATUS_CODE,2809,secure_element,code_string,n/a,Secure Element Expired,Smart card certificate has expired,Expired secure element certificate,no,error,official_spec,high,KB-006,
core_canonical,REC-ERR-003,The validation payload model and VerifyPin format rules support these codes directly,GENERAL_STATUS_CODE,2811,shared,obsolete_code,n/a,Invalid Invoice Type,Obsolete code replaced by 2805,Legacy validation path,yes,error,official_spec,medium,KB-006,Obsolete
core_canonical,REC-ERR-003,The validation payload model and VerifyPin format rules support these codes directly,GENERAL_STATUS_CODE,2812,shared,obsolete_code,n/a,Invalid Transaction Type,Obsolete code replaced by 2805,Legacy validation path,yes,error,official_spec,medium,KB-006,Obsolete
core_canonical,REC-ERR-003,The validation payload model and VerifyPin format rules support these codes directly,GENERAL_STATUS_CODE,2813,shared,obsolete_code,n/a,Invalid Payment Type,Obsolete code replaced by 2805,Legacy validation path,yes,error,official_spec,medium,KB-006,Obsolete
core_canonical,REC-ERR-004,The official APDU error table directly supports this entire status-word family,SE_APDU_STATUS,0x6301,secure_element,sw1sw2,n/a,PIN verification required,PIN must be verified before Sign Invoice,Sign Invoice before PIN verification,yes,error,official_spec,high,KB-006,Maps to POS code 1500
core_canonical,REC-ERR-004,The official APDU error table directly supports this entire status-word family,SE_APDU_STATUS,0x6302,secure_element,sw1sw2,n/a,Wrong PIN code,Verify PIN failed due to wrong PIN,Verify PIN with wrong PIN,yes,error,official_spec,high,KB-006,Maps to POS code 2100
core_canonical,REC-ERR-004,The official APDU error table directly supports this entire status-word family,SE_APDU_STATUS,0x6303,secure_element,sw1sw2,n/a,Wrong PIN size,Verify PIN failed due to invalid PIN size,Verify PIN with invalid length,yes,error,official_spec,high,KB-006,Maps to POS code 2100
core_canonical,REC-ERR-004,The official APDU error table directly supports this entire status-word family,SE_APDU_STATUS,0x6304,secure_element,sw1sw2,n/a,Maximum tax categories exceeded,Sign Invoice payload exceeds max tax categories,Sign Invoice,no,error,official_spec,high,KB-006,SDC related handling
core_canonical,REC-ERR-004,The official APDU error table directly supports this entire status-word family,SE_APDU_STATUS,0x6305,secure_element,sw1sw2,n/a,SE amount limit reached,Secure element reached defined amount limit,Sign Invoice after limit reached,yes,error,official_spec,high,KB-006,Maps to POS code 2210
core_canonical,REC-ERR-004,The official APDU error table directly supports this entire status-word family,SE_APDU_STATUS,0x6306,secure_element,sw1sw2,n/a,No active audit,End Audit sent without an active audit,End Audit,no,error,official_spec,high,KB-006,SDC related handling
core_canonical,REC-ERR-004,The official APDU error table directly supports this entire status-word family,SE_APDU_STATUS,0x6307,secure_element,sw1sw2,n/a,Invoice fiscalization disabled,Secure element disabled invoice fiscalization,Sign Invoice,yes,error,official_spec,high,KB-006,Maps to POS code 2210
core_canonical,REC-ERR-004,The official APDU error table directly supports this entire status-word family,SE_APDU_STATUS,0x6308,secure_element,sw1sw2,n/a,Invoice datetime outside certificate validity,Invoice datetime is outside NotBefore and NotAfter,Sign Invoice,no,error,official_spec,high,KB-006,SDC related handling
core_canonical,REC-ERR-004,The official APDU error table directly supports this entire status-word family,SE_APDU_STATUS,0x6310,secure_element,sw1sw2,n/a,PIN entries exceeded,Too many wrong PIN entries,Verify PIN,no,error,official_spec,high,KB-006,Maps to POS code 2110
core_canonical,REC-ERR-004,The official APDU error table directly supports this entire status-word family,SE_APDU_STATUS,0x63FF,secure_element,sw1sw2,n/a,SE counter limit reached,A secure element counter reached its limit,Sign Invoice,no,error,official_spec,high,KB-006,SDC related handling and replacement required
core_canonical,REC-ERR-004,The official APDU error table directly supports this entire status-word family,SE_APDU_STATUS,0x6700,secure_element,sw1sw2,n/a,End Audit invalid data length,Proof of Audit data must be 256 bytes,End Audit,no,error,official_spec,high,KB-006,
core_canonical,REC-ERR-004,The official APDU error table directly supports this entire status-word family,SE_APDU_STATUS,0x6A80_end_audit,secure_element,sw1sw2,n/a,End Audit payload mismatch,Proof of Audit payload does not match the latest Start Audit,End Audit,no,error,official_spec,high,KB-006,
core_canonical,REC-ERR-004,The official APDU error table directly supports this entire status-word family,SE_APDU_STATUS,0x6A80_sign_invoice,secure_element,sw1sw2,n/a,Tax category order id too large,Tax category order id exceeds the secure element maximum,Sign Invoice,yes,error,official_spec,high,KB-006,Maps to POS code 2310
core_canonical,REC-ERR-004,The official APDU error table directly supports this entire status-word family,SE_APDU_STATUS,0x6F00,secure_element,sw1sw2,n/a,Invalid proof of audit payload,APDU command data cannot be recognized as valid Proof of Audit,End Audit,no,error,official_spec,high,KB-006,
guidance_canonical,REC-ERR-005,This is approval/manual-test behavior rather than the core code system but it is highly relevant for integration handling,LPFR_HTTP_EXPECTATION,GET_environment_parameters_no_card,lpfr_service,http_status_plus_body,400,1300,Get Environment Parameters without a card returns Smart Card is not present,Selected reader but no smart card inserted,yes,error,official_manual_test,high,KB-007,Endpoint /api/v3/environment-parameters
guidance_canonical,REC-ERR-005,This is approval/manual-test behavior rather than the core code system but it is highly relevant for integration handling,LPFR_HTTP_EXPECTATION,GET_status_no_card,lpfr_service,http_status_plus_body,200,1300|1500|0210,Get Status without a card still returns a status payload with multiple general status codes,Selected reader but no smart card inserted,yes,error,official_manual_test,high,KB-007,Endpoint /api/v3/status
guidance_canonical,REC-ERR-005,This is approval/manual-test behavior rather than the core code system but it is highly relevant for integration handling,LPFR_HTTP_EXPECTATION,POST_pin_no_card,lpfr_service,http_status_plus_body,200,1300,VerifyPin without a card returns Smart Card is not present,Selected reader but no smart card inserted,yes,error,official_manual_test,high,KB-007,Endpoint /api/v3/pin
guidance_canonical,REC-ERR-005,This is approval/manual-test behavior rather than the core code system but it is highly relevant for integration handling,LPFR_HTTP_EXPECTATION,POST_invoices_no_card,lpfr_service,http_status_plus_body,400,1300,CreateInvoice without a card returns Smart Card is not present,Selected reader but no smart card inserted,yes,error,official_manual_test,high,KB-007,Endpoint /api/v3/invoices
guidance_canonical,REC-ERR-005,This is approval/manual-test behavior rather than the core code system but it is highly relevant for integration handling,LPFR_HTTP_EXPECTATION,GET_status_pin_required,lpfr_service,http_status_plus_body,200,1500|0210,Get Status with a card inserted but no PIN still returns HTTP 200 with a degraded-state GSC array,Card inserted and internet available but PIN missing,yes,error,official_manual_test,high,KB-007,Endpoint /api/v3/status
guidance_canonical,REC-ERR-005,This is approval/manual-test behavior rather than the core code system but it is highly relevant for integration handling,LPFR_HTTP_EXPECTATION,POST_invoices_pin_required,lpfr_service,http_status_plus_body,n/a,1500,CreateInvoice with a card inserted but no PIN returns Pin Code Required,Card inserted but VerifyPin not performed yet,yes,error,official_manual_test,high,KB-007,Endpoint /api/v3/invoices
guidance_canonical,REC-ERR-005,This is approval/manual-test behavior rather than the core code system but it is highly relevant for integration handling,LPFR_HTTP_EXPECTATION,POST_pin_wrong,lpfr_service,http_status_plus_body,423,2100,VerifyPin with a wrong PIN returns Pin Not OK,Wrong PIN body supplied,yes,error,official_manual_test,high,KB-007,Endpoint /api/v3/pin
guidance_canonical,REC-ERR-005,This is approval/manual-test behavior rather than the core code system but it is highly relevant for integration handling,LPFR_HTTP_EXPECTATION,POST_pin_ok,lpfr_service,http_status_plus_body,200,0100,VerifyPin with a correct PIN returns Pin OK,Valid PIN body supplied,no,info,official_manual_test,high,KB-007,Endpoint /api/v3/pin
guidance_canonical,REC-ERR-005,This is approval/manual-test behavior rather than the core code system but it is highly relevant for integration handling,LPFR_HTTP_EXPECTATION,GET_status_pin_ok,lpfr_service,http_status_plus_body,200,0100,Get Status after a successful PIN verification reports Pin OK,Card inserted and valid PIN already cached,no,info,official_manual_test,high,KB-007,Endpoint /api/v3/status
reference_only,REC-ERR-006,Useful for smart-card UX translation but not part of the core fiscal protocol corpus,SMART_CARD_STATUS,0x6983,smart_card,sw1sw2,n/a,PKI applet locked,Reference PKI PIN flow reports a locked PKI applet state,VerifyPkiPin,no,error,reference_impl,medium,REF-005,Reference-only smart-card adapter status; CardReaderService maps this to PkiAppletLocked
reference_only,REC-ERR-006,Useful for smart-card UX translation but not part of the core fiscal protocol corpus,SMART_CARD_STATUS,0x63Cx,smart_card,sw1sw2,n/a,PKI PIN wrong with tries left encoded,Reference PKI PIN flow encodes remaining tries in SW2 as 0xC0 plus tries left,VerifyPkiPin,yes,error,reference_impl,medium,REF-005,Reference-only smart-card adapter status; VerifyPinDialogViewModel subtracts 192 from SW2 to display tries left
core_canonical,TXC-ERR-001,Official AuditDataStatus family defines backend verification outcomes and retry or deletion handling,AUDIT_DATA_STATUS,0,taxcore_api_esdc,code_int,n/a,Invalid audit package,TaxCore failed to decrypt or recognize the received audit package,SubmitAuditPackage,no,error,official_spec,high,KB-006,Possible reasons include corrupt content wrong encryption or wrong TaxCore public key
core_canonical,TXC-ERR-001,Official AuditDataStatus family defines backend verification outcomes and retry or deletion handling,AUDIT_DATA_STATUS,1,taxcore_api_esdc,code_int,n/a,Invoice cannot be stored,Received invoice is probably valid but TaxCore cannot store it due to an internal server problem,SubmitAuditPackage,yes,error,official_spec,high,KB-006,This is the only documented retryable audit-package status
core_canonical,TXC-ERR-001,Official AuditDataStatus family defines backend verification outcomes and retry or deletion handling,AUDIT_DATA_STATUS,2,taxcore_api_esdc,code_int,n/a,Signature is invalid,Submitted invoice signature is invalid,SubmitAuditPackage,no,error,official_spec,high,KB-006,
core_canonical,TXC-ERR-001,Official AuditDataStatus family defines backend verification outcomes and retry or deletion handling,AUDIT_DATA_STATUS,3,taxcore_api_esdc,code_int,n/a,Invoice internal data was encrypted in a wrong way,Audit payload internal data encryption is invalid,SubmitAuditPackage,no,error,official_spec,high,KB-006,
core_canonical,TXC-ERR-001,Official AuditDataStatus family defines backend verification outcomes and retry or deletion handling,AUDIT_DATA_STATUS,4,taxcore_api_esdc,code_int,n/a,Invoice is verified,Audit package was verified successfully,SubmitAuditPackage,no,info,official_spec,high,KB-006,If status 4 is received the local audit package should be deleted immediately
core_canonical,TXC-ERR-001,Official AuditDataStatus family defines backend verification outcomes and retry or deletion handling,AUDIT_DATA_STATUS,5,taxcore_api_esdc,code_int,n/a,Tax group missing or obsolete,Invoice taxes were calculated with a tax-rate group that does not exist or is obsolete,SubmitAuditPackage,no,error,official_spec,high,KB-006,
core_canonical,TXC-ERR-001,Official AuditDataStatus family defines backend verification outcomes and retry or deletion handling,AUDIT_DATA_STATUS,6,taxcore_api_esdc,code_int,n/a,Certificate already revoked at signing time,Secure-element certificate was revoked at the moment of invoice signing,SubmitAuditPackage,no,error,official_spec,high,KB-006,
core_canonical,TXC-ERR-001,Official AuditDataStatus family defines backend verification outcomes and retry or deletion handling,AUDIT_DATA_STATUS,8,taxcore_api_esdc,code_int,n/a,Certificate not officially issued at signing time,Secure-element certificate was not officially issued when the invoice was signed,SubmitAuditPackage,no,error,official_spec,high,KB-006,
core_canonical,TXC-ERR-001,Official AuditDataStatus family defines backend verification outcomes and retry or deletion handling,AUDIT_DATA_STATUS,24,taxcore_api_esdc,code_int,n/a,Manufacturer Registration Code format invalid,E-SDC Manufacturer Registration Code is in a wrong format,SubmitAuditPackage,no,error,official_spec,high,KB-006,
core_canonical,TXC-ERR-001,Official AuditDataStatus family defines backend verification outcomes and retry or deletion handling,AUDIT_DATA_STATUS,67,taxcore_api_esdc,code_int,n/a,SDC time out of allowed range,Invoice contains sdcDateTime outside the allowed tolerance range,SubmitAuditPackage,no,error,official_spec,high,KB-006,
core_canonical,TXC-ERR-001,Official AuditDataStatus family defines backend verification outcomes and retry or deletion handling,AUDIT_DATA_STATUS,68,taxcore_api_esdc,code_int,n/a,Reference time out of allowed range,Invoice contains reference time outside the allowed tolerance range,SubmitAuditPackage,no,error,official_spec,high,KB-006,
core_canonical,TXC-ERR-001,Official AuditDataStatus family defines backend verification outcomes and retry or deletion handling,AUDIT_DATA_STATUS,69,taxcore_api_esdc,code_int,n/a,Tax label missing in the named tax-rate group,Invoice contains TaxItem for a label that does not exist in Result.TaxGroupRevision,SubmitAuditPackage,no,error,official_spec,high,KB-006,
core_canonical,TXC-ERR-001,Official AuditDataStatus family defines backend verification outcomes and retry or deletion handling,AUDIT_DATA_STATUS,70,taxcore_api_esdc,code_int,n/a,CategoryOrderId missing in the named tax-rate group,Internal data contains TaxCounters for a CategoryOrderId that does not exist in Result.TaxGroupRevision,SubmitAuditPackage,no,error,official_spec,high,KB-006,
core_canonical,TXC-ERR-001,Official AuditDataStatus family defines backend verification outcomes and retry or deletion handling,AUDIT_DATA_STATUS,71,taxcore_api_esdc,code_int,n/a,Payment information missing,Invoice was submitted without information about the payment,SubmitAuditPackage,no,error,official_spec,high,KB-006,
core_canonical,TXC-ERR-001,Official AuditDataStatus family defines backend verification outcomes and retry or deletion handling,AUDIT_DATA_STATUS,72,taxcore_api_esdc,code_int,n/a,TIN SignedBy or RequestedBy mismatch,E-SDC sent wrong TIN or SignedBy or RequestedBy fields when signing the invoice,SubmitAuditPackage,no,error,official_spec,high,KB-006,
core_canonical,TXC-ERR-001,Official AuditDataStatus family defines backend verification outcomes and retry or deletion handling,AUDIT_DATA_STATUS,73,taxcore_api_esdc,code_int,n/a,SDC time is too far in the future,Invoice sdcDateTime is in the future compared to arrival time beyond the allowed tolerance,SubmitAuditPackage,no,error,official_spec,high,KB-006,
core_canonical,TXC-ERR-001,Official AuditDataStatus family defines backend verification outcomes and retry or deletion handling,AUDIT_DATA_STATUS,74,taxcore_api_esdc,code_int,n/a,Reference time is too far in the future,Invoice referentDocumentDT is in the future compared to sdcDateTime beyond the allowed tolerance,SubmitAuditPackage,no,error,official_spec,high,KB-006,
core_canonical,TXC-ERR-001,Official AuditDataStatus family defines backend verification outcomes and retry or deletion handling,AUDIT_DATA_STATUS,75,taxcore_api_esdc,code_int,n/a,SDC time is too far in the past,Invoice sdcDateTime is in the past compared to arrival time beyond the allowed tolerance,SubmitAuditPackage,no,error,official_spec,high,KB-006,
core_canonical,TXC-ERR-001,Official AuditDataStatus family defines backend verification outcomes and retry or deletion handling,AUDIT_DATA_STATUS,76,taxcore_api_esdc,code_int,n/a,Reference time is too far in the past,Invoice referentDocumentDT is in the past compared to sdcDateTime beyond the allowed tolerance,SubmitAuditPackage,no,error,official_spec,high,KB-006,
core_canonical,TXC-ERR-001,Official AuditDataStatus family defines backend verification outcomes and retry or deletion handling,AUDIT_DATA_STATUS,78,taxcore_api_esdc,code_int,n/a,Verification URL missing,Invoice does not contain a Verification URL,SubmitAuditPackage,no,error,official_spec,high,KB-006,
